Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-12-01,301,01:54:00,Tuesday,Queen St. West and Bay St.,Mechanical,9.0,18.0,W/B,4004.0
2015-12-01,501,04:50:00,Tuesday,Queen at Connaught,Mechanical,9.0,1.0,W/B,4243.0
2015-12-01,501,05:25:00,Tuesday,Queen at Roncesvalles,Mechanical,7.0,17.0,W/B,4232.0
2015-12-01,501,05:25:00,Tuesday,Roncesvalles Carhouse.,Mechanical,4.0,15.0,W/B,4232.0
2015-12-01,501,05:40:00,Tuesday,Roncesvalles Carhouse.,Mechanical,5.0,10.0,W/B,4220.0
2015-12-01,506,06:12:00,Tuesday,Roncesvalles Carhouse.,Mechanical,4.0,7.0,E/B,4179.0
2015-12-01,506,06:12:00,Tuesday,Roncesvalles Carhouse.,Mechanical,4.0,7.0,E/B,4179.0
2015-12-01,504,06:26:00,Tuesday,Queen and Broadview,Mechanical,4.0,8.0,eb,4132.0
2015-12-01,504,06:41:00,Tuesday,Queen and Broadview,Mechanical,4.0,8.0,eb,4124.0
2015-12-01,51,06:50:00,Tuesday,Neville loop,Mechanical,5.0,10.0,W/B,4224.0
2015-12-01,511,06:53:00,Tuesday,Bathurst & Harbord,Held By,14.0,20.0,S/B,4175.0
2015-12-01,503,06:55:00,Tuesday,Queen and Connaught,Mechanical,10.0,22.0,eb,4022.0
2015-12-01,504,07:04:00,Tuesday,King/Shaw,Investigation,25.0,29.0,W/B,4098.0
2015-12-01,504,07:19:00,Tuesday,Queen/Roncesvalles,Mechanical,4.0,8.0,E/B,4128.0
2015-12-01,506,07:44:00,Tuesday,Main Stn,Mechanical,14.0,18.0,E/B,4141.0
2015-12-01,505,08:04:00,Tuesday,Dundas & Parliament,Mechanical,6.0,12.0,E/B,4040.0
2015-12-01,504,08:05:00,Tuesday,Queen/Roncesvalles,Late Leaving Garage,4.0,8.0,W/B,4038.0
2015-12-01,501,09:56:00,Tuesday,Queensway at Sunnyside,Held By,7.0,12.0,E/B,4219.0
2015-12-01,501,10:10:00,Tuesday,University and Queen,Investigation,10.0,20.0,W/B,831.0
2015-12-01,505,11:27:00,Tuesday,Dundas & Claremont,Held By,40.0,47.0,E/B,4132.0
2015-12-01,501,12:21:00,Tuesday,Queen and Jameson,Investigation,6.0,12.0,W/B,4242.0
2015-12-01,501,14:03:00,Tuesday,Queen and Ossington,Investigation,6.0,12.0,W/B,4226.0
2015-12-01,504,15:09:00,Tuesday,Broadview Station,Mechanical,4.0,8.0,S/B,4059.0
2015-12-01,510,15:52:00,Tuesday,Spadina and Queen,Mechanical,32.0,34.0,N/B,4093.0
2015-12-01,506,17:40:00,Tuesday,High Park Loop,Mechanical,21.0,27.0,E/B,4018.0
2015-12-01,511,18:04:00,Tuesday,Bathurst and Dundas,Investigation,329.0,334.0,S/B,4054.0
2015-12-01,501,18:40:00,Tuesday,Roncevalles and Queen,Investigation,6.0,12.0,W/B,4233.0
2015-12-01,506,19:14:00,Tuesday,Charlton and Jarvis,Held By,26.0,32.0,E/B,4186.0
2015-12-01,512,19:31:00,Tuesday,St. Clair West Station,Investigation,16.0,20.0,W/B,4033.0
2015-12-01,506,19:35:00,Tuesday,College and Spadina,Investigation,6.0,12.0,E/B,4029.0
